1.000000-5  0.000000+0 0.000000+0                                            
 1.462000+6  3.583600-1 1.393100-1-4.028800-3 0.000000+0                      
 1.470000+6  3.132500-1 1.406000-1 2.620400-2 0.000000+0                      
 1.477000+6  3.235400-1 1.533400-1 1.177100-2 0.000000+0                      
 1.484000+6  3.301800-1 1.262800-1 3.035100-2 0.000000+0                      
 1.487000+6  2.975900-1 1.072400-1 4.234300-3 0.000000+0                      
 1.491000+6  2.981900-1 1.136700-1 2.348000-2 0.000000+0                      
 1.494000+6  2.706400-1 1.003800-1-1.090600-2 0.000000+0                      
 1.502000+6  2.771100-1 1.406000-1 2.068200-2 0.000000+0                      
 1.505000+6  3.229800-1 1.559600-1 1.629500-2 0.000000+0                      
 1.506000+6  3.136800-1 1.642100-1 1.123100-4 0.000000+0                      
 1.507000+6  3.246700-1 1.377900-1 2.695800-2 0.000000+0                      
 1.513000+6  2.531300-1 1.366100-1-7.444600-3 0.000000+0                      
 1.515000+6  2.820000-1 1.302100-1 3.677400-2 0.000000+0                      
 1.516000+6  2.685000-1 1.212000-1 9.192100-3 0.000000+0                      
 1.522000+6  2.716400-1 1.053400-1-1.381000-3 0.000000+0                      
 1.523000+6  2.920300-1 9.493300-2 7.890000-3 0.000000+0                      
 1.525000+6  2.465800-1 7.969500-2-4.940400-2 0.000000+0                      
 1.528000+6  2.796300-1 9.169300-2 1.689100-2 0.000000+0                      
 1.530000+6  2.284000-1 5.189000-2-2.360300-2 0.000000+0                      
 1.537000+6  2.453200-1 8.944000-2 6.166800-3 0.000000+0                      
 1.539000+6  2.620000-1 8.538800-2-1.231700-2 0.000000+0                      
 1.540000+6  2.722100-1 8.439800-2 2.085800-2 0.000000+0                      
 1.544000+6  2.629800-1 9.041100-2-3.047500-2 0.000000+0                      
 1.548000+6  1.848400-1 6.459900-2-2.406200-2 0.000000+0                      
 1.549000+6  1.959600-1 5.840900-2 4.405100-3 0.000000+0                      
 1.551000+6  2.095700-1 5.689800-2-1.786400-2 0.000000+0                      
 1.555000+6  2.805500-1 1.010300-1 2.889800-4 0.000000+0                      
 1.556000+6  2.730700-1 1.119700-1-8.947900-3 0.000000+0                      
 1.558000+6  2.478300-1 7.800300-2 1.575900-2 0.000000+0                      
